Avg MJD,Avg V-mag,Avg SE,Avg Air Mass,Observation Count,Uncertainty
57875.368946346105,11.90649999999999,0.0020139423076923095,1.505649038461538,208,0.00013964177415790185
57876.35845109287,11.905767213114746,0.0020153005464480893,1.5559234972677598,183,0.00014897530313008018
57887.3799076081,11.905090585241727,0.0021694656488549604,1.321307888040713,393,0.00010943506564058883
57906.35375181238,11.911194669509586,0.0020823027718550086,1.2530767590618337,469,9.61518082048151e-05
57907.34928268244,11.905372103004295,0.002060729613733908,1.2628218884120184,466,9.546145595364389e-05
57908.334903450894,11.907609823677575,0.002094710327455921,1.298921914357682,397,0.00010513049772312777
57909.26415976001,11.9100584,0.002355200000000001,1.5734720000000004,125,0.00021065549202430026
57910.374753272255,11.907348691099488,0.002504188481675392,1.1283664921465968,382,0.00012812542888964817
57913.37615661456,11.908657812500012,0.002305208333333333,1.110096354166666,384,0.00011763717015579803
57914.36578309525,11.908474074074077,0.0023259259259259288,1.1213412698412693,378,0.00011963272071135042
57941.31028128884,11.908038198757756,0.0021784161490683226,1.199781055900622,644,8.584162181000265e-05
57942.30954718925,11.91214090090089,0.0023491891891891897,1.240998198198199,555,9.971752759267172e-05
57943.386558294595,11.904954005167959,0.003072093023255808,1.0892868217054263,387,0.00015616326465842665
57981.17281439303,11.91118092485549,0.002258959537572255,1.099768786127167,173,0.00017174551331341099
57982.1636303352,11.911217318435757,0.001672625698324023,1.1130893854748598,179,0.00012501791439660878
57986.17031359784,11.911017989417985,0.0022275132275132274,1.093989417989417,189,0.0001620277456602342
57988.17731920706,11.910974449339207,0.0021180616740088106,1.0680440528634347,227,0.0001405806908446108
57990.2589214955,11.911716517857156,0.0017187499999999963,1.1700714285714289,448,8.120330474807598e-05
57993.26864682704,11.909313190730833,0.0018065953654188937,1.2315793226381468,561,7.627451611197486e-05
