Avg MJD,Avg V-mag,Avg SE,Avg Air Mass,Observation Count,Uncertainty
57908.334903450894,11.907609823677575,0.002094710327455921,1.298921914357682,397,0.00010513049772312777
57909.26415976001,11.9100584,0.002355200000000001,1.5734720000000004,125,0.00021065549202430026
57931.25940600661,11.914789108910899,0.0020346534653465356,1.2827821782178215,303,0.0001168877874922803
57932.33672090406,11.91370369003689,0.0020217712177121793,1.155352398523985,542,8.684250979189046e-05
57933.31637745005,11.912350691244242,0.0022508448540706555,1.217347158218126,651,8.82175651295309e-05
57934.323693050144,11.911624517374504,0.0017370656370656343,1.225942084942085,518,7.632228237303837e-05
57935.31435770614,11.91466386806596,0.0016467766116941463,1.2170569715142425,667,6.376344505099998e-05
57936.312851765564,11.91621468842728,0.0018452522255192865,1.2198724035608304,674,7.107646001890367e-05
57941.31028128884,11.908038198757756,0.0021784161490683226,1.199781055900622,644,8.584162181000265e-05
57942.30954718925,11.91214090090089,0.0023491891891891897,1.240998198198199,555,9.971752759267172e-05
57943.386558294595,11.904954005167959,0.003072093023255808,1.0892868217054263,387,0.00015616326465842665
57988.17731920706,11.910974449339207,0.0021180616740088106,1.0680440528634347,227,0.0001405806908446108
57990.2589214955,11.911716517857156,0.0017187499999999963,1.1700714285714289,448,8.120330474807598e-05
57993.26864682704,11.909313190730833,0.0018065953654188937,1.2315793226381468,561,7.627451611197486e-05
57995.27337339521,11.910764190981435,0.0018636604774535806,1.1471246684350147,377,9.598339786844754e-05
57999.22794235295,11.906333823529412,0.001916176470588234,1.043764705882353,68,0.00023237052898701592
58012.27291488429,11.906435732647818,0.0021570694087403577,1.3071953727506431,389,0.00010936776046255612
