Avg MJD,Avg V-mag,Avg SE,Avg Air Mass,Observation Count,Uncertainty
58019.203138429504,12.086009294871793,0.0014967948717948727,1.1142339743589749,312,8.473932290793694e-05
58020.19842672548,12.08530050377834,0.001348362720403024,1.144863979848867,397,6.767238507839143e-05
58021.17475159776,12.08729338842975,0.0013239669421487585,1.090920110192838,363,6.94902427679774e-05
58022.18443831861,12.08862064896754,0.0012687315634218306,1.1269764011799412,339,6.890803969908381e-05
58023.17968534533,12.088243543543545,0.0014081081081081105,1.100477477477478,333,7.716384899647865e-05
58024.187831795636,12.087607739938079,0.0015414860681114563,1.1165944272445825,323,8.577057918909351e-05
58025.164827017026,12.086520170454547,0.0014542613636363633,1.0899090909090905,352,7.751239112388988e-05
58026.17036675585,12.086976254180605,0.001660200668896324,1.095628762541807,299,9.601188368830841e-05
58027.16856084509,12.085370985915485,0.0014949295774647883,1.1105690140845068,355,7.934262377883655e-05
58028.170708936144,12.084603829787234,0.0026102127659574505,1.0904255319148937,235,0.00017027150638765191
58029.15236063901,12.08455399361021,0.0018795527156549533,1.0816261980830675,313,0.00010623860075555455
58030.13221442926,12.083648401826476,0.0016406392694063932,1.049479452054795,219,0.00011086412788079241
58032.190344838666,12.08346580645161,0.0022393548387096753,1.172929032258065,310,0.0001271868081723587
58033.15900820654,12.083653804347826,0.001689130434782609,1.1191684782608702,184,0.0001245243477525599
58034.16363918204,12.082186279683372,0.0015150395778364125,1.1410554089709768,379,7.782235576293425e-05
58035.145681040965,12.079364984227125,0.0018911671924290243,1.0950252365930608,317,0.00010621853179901822
58036.16755629853,12.082285074626862,0.0013841791044776142,1.1528776119402986,335,7.56257831985585e-05
58037.158793719005,12.080178512396694,0.0015294765840220411,1.1415895316804419,363,8.027670159130498e-05
58038.1534346541,12.083473584905656,0.0013754716981132088,1.123128930817611,318,7.713262270435862e-05
58039.15695836008,12.079061414790997,0.0018083601286173637,1.1497942122186502,311,0.00010254269528437072
58040.21105571433,12.082018681318685,0.0019895604395604423,1.4261373626373637,182,0.0001474760316280138
58041.17223220592,12.080351225490187,0.0015460784313725497,1.258642156862744,408,7.654228800363804e-05
58043.18324327487,12.083149122807017,0.0016011695906432753,1.3207602339181292,171,0.000122444498896218
58047.15345176941,12.080559249329761,0.002550134048257371,1.2124101876675601,373,0.00013204093589068812
58048.122529043794,12.08097131474103,0.0013087649402390446,1.1007131474103584,251,8.260851052495158e-05
58049.13416571897,12.082407843137245,0.0013810457516339897,1.142513071895426,306,7.894913080743397e-05
58050.16265568446,12.080364965197223,0.0015122969837587,1.2939234338747096,431,7.284478249418873e-05
58051.1555715539,12.07889323308271,0.001399248120300753,1.2609448621553871,399,7.005002333930782e-05
58052.153417329835,12.078180104712043,0.0017790575916230376,1.257149214659686,382,9.102450498996966e-05
58053.1105546352,12.07719570815451,0.0015077253218884114,1.101068669527897,233,9.877436997633086e-05
58054.130235046425,12.07931517027864,0.001595356037151703,1.1763808049535607,323,8.876798444695694e-05
58055.125520830436,12.077128719723182,0.0016058823529411766,1.1595397923875426,289,9.446366782006922e-05
58056.14982642476,12.077380645161298,0.0018026881720430122,1.2870161290322588,372,9.34650277535247e-05
58059.105378975604,12.07928585365853,0.001641951219512195,1.1204243902439017,205,0.0001146788475883122
58061.10387477476,12.079531531531531,0.0022990990990991006,1.1187837837837844,111,0.00021822082929372785
58064.19043308176,12.07885911949686,0.002460377358490567,1.595132075471698,159,0.00019512061656159628
58066.134230059506,12.077888392857151,0.0018181547619047621,1.3319404761904758,336,9.918847406634507e-05
58067.12460300307,12.079042105263163,0.0012916408668730648,1.2843250773993808,323,7.186882032072661e-05
58068.12064151075,12.079483812949645,0.0017640287769784167,1.268622302158273,278,0.00010579941531314909
58069.13218954269,12.078854268292684,0.0013896341463414655,1.3598719512195125,328,7.672970973310233e-05
58071.1392972157,12.079578039215685,0.0018137254901960799,1.4206823529411774,255,0.00011357989593211054
58072.12779514925,12.078875373134329,0.0015593283582089554,1.3854291044776128,268,9.525113954570886e-05
58073.12522370611,12.079048242811497,0.0015869009584664553,1.375658146964857,313,8.969694542798566e-05
58074.11044284047,12.078980933852137,0.0015894941634241257,1.2924202334630357,257,9.914992176805939e-05
58075.13817491152,12.07808716814159,0.0020805309734513275,1.45688053097345,226,0.00013839486171804646
58076.12428720149,12.079433955223877,0.0013365671641791062,1.3969813432835818,268,8.164383389632198e-05
58077.09652823232,12.079268686868678,0.001319696969696971,1.2471262626262631,198,9.378677977057417e-05
58080.10398926089,12.082086956521737,0.0014378260869565226,1.3288782608695657,230,9.480744458782039e-05
58081.086309053244,12.082952071005922,0.0014692307692307691,1.244579881656805,169,0.00011301775147928993
58082.09654509805,12.082542156862742,0.001464705882352942,1.3110294117647059,204,0.00010254992380087489
58083.10820058822,12.085928308823531,0.0014919117647058822,1.418705882352941,272,9.046043808799992e-05
58084.10837256702,12.083397318007664,0.0014222222222222232,1.4322835249042152,261,8.803334550615799e-05
58085.08906730158,12.083335449735447,0.0021031746031746046,1.310761904761905,189,0.0001529834415675609
58087.10094300885,12.084328318584069,0.0031601769911504436,1.4559999999999997,113,0.0002972844443360909
58091.074377244106,12.08349842519685,0.0028267716535433094,1.3076850393700783,127,0.0002508354227404607
58092.06932747253,12.084731868131867,0.002189010989010989,1.289164835164835,91,0.00022947070271978694
58094.11203744189,12.088177906976744,0.0025523255813953484,1.6567093023255817,86,0.0002752243455599387
58095.0979645,12.087194444444446,0.00187388888888889,1.540555555555555,180,0.00013967143126123694
