Avg MJD,Avg V-mag,Avg SE,Avg Air Mass,Observation Count,Uncertainty
57875.33818226189,11.906259523809519,0.0024547619047619036,1.7433214285714285,84,0.00026783648194441436
57875.379369176466,11.907241176470592,0.0016435294117647047,1.4007882352941177,85,0.00017826579386627202
57875.41011325001,11.905425,0.0019175000000000004,1.241625,40,0.0003031833706686434
57876.315818333336,11.904200000000001,0.0021333333333333334,1.9785000000000001,6,0.0008709296863229079
57876.33837344825,11.905317241379311,0.0022252873563218386,1.712149425287356,87,0.00023857584683287014
57876.37998655172,11.906290804597703,0.0017735632183908051,1.380551724137931,87,0.00019014593577640435
57876.401439999994,11.906766666666668,0.0026999999999999997,1.266,3,0.0015588457268119894
57887.30072811595,11.904371014492757,0.002484057971014493,1.7921014492753624,69,0.00029904543795508464
57887.33818022986,11.905056321839083,0.0025528735632183927,1.456103448275863,87,0.00027369677469824645
57887.379927999995,11.906131764705885,0.0017247058823529416,1.2340705882352947,85,0.0001870706183306765
57887.42083227849,11.905440506329114,0.0020848101265822793,1.109443037974683,79,0.00023455946491457747
57887.460166301375,11.904220547945206,0.002024657534246575,1.0465205479452053,73,0.00023696824048750816
57892.27317636364,11.92599090909091,0.002581818181818182,1.9636363636363634,11,0.0007784474714553171
57892.29459864407,11.924698305084743,0.003710169491525424,1.7106610169491527,59,0.00048302292565597196
57892.34112972223,11.925881944444447,0.0020499999999999993,1.3517222222222225,72,0.00024159481690540368
57892.380068795195,11.92368313253012,0.001689156626506024,1.1839397590361451,83,0.00018540902711511548
57892.42174542169,11.925063855421685,0.001527710843373494,1.0808072289156632,83,0.00016768805020111728
57892.46089945207,11.924134246575345,0.0014794520547945207,1.0349999999999997,73,0.00017315676571482333
57893.271816666675,11.920013333333335,0.0032866666666666665,1.9445333333333332,15,0.0008486136843023362
57893.296578902446,11.918168292682923,0.0025048780487804886,1.664951219512196,82,0.00027661750555821324
57893.33820228918,11.91937469879518,0.0020626506024096396,1.3540240963855426,83,0.0002264053169907831
57893.37998365856,11.919062195121953,0.001839024390243902,1.175390243902439,82,0.0002030862699034982
57893.421530722895,11.918371084337348,0.0017542168674698796,1.0765301204819286,83,0.00019255031631926404
57893.45890439395,11.91741666666666,0.001463636363636364,1.0342878787878782,66,0.00018016118225156884
57894.270320476186,11.917966666666667,0.002119047619047619,1.9278095238095236,21,0.00046241410073817433
57894.296398915656,11.918619277108432,0.001967469879518072,1.6400963855421693,83,0.0002159578753773064
57894.33801060243,11.918338554216868,0.001637349397590361,1.3401204819277115,83,0.00017972244497107125
57894.379670602415,11.917808433734937,0.001498795180722891,1.1677951807228917,83,0.00016451414388816233
57894.41980013889,11.916258333333335,0.001679166666666667,1.074916666666667,72,0.00019789168945706856
57894.45253300001,11.915255000000002,0.0016375,1.0359249999999995,40,0.00025891148342628605
57895.26907814816,11.913870370370368,0.0019740740740740743,1.908074074074074,27,0.000379910732688976
57895.296777560965,11.913758536585362,0.0023158536585365856,1.6112682926829265,82,0.0002557432536782117
57895.33826373495,11.91323855421687,0.0017060240963855421,1.3243855421686745,83,0.00018726047246433918
